Site ID,Aegiceras corniculatum,Avicenna marina,Avicennia marina canopy,Casuarina glauca,Casuarina glauca Canopy,Lobelia alata,Samolus repens,Senecio glomeratus,Juncus kraussii,Zoysia macarantha,Sporobolus virginicus,Phragmitis australis,Triglochin striata,Tetragonia tetragonoides,Sarcocornia quinquefolia,Atriplex australasica,Sueda australis,Baumea juncea,Hydrocotyl bonariensis,Juncus acutus,Pteridium esculentum,Livistona australis,Tradescantia albiflora,Tropaeolum majus,Plectranthus parviflorus,Sigesbeckia orientalis,Omalanthus populifera,Sida rhombifolia,Lantana camara,Conyza parva,Cyperus eragrostis,Rumex crispus,Echinochloa crus-galli,Periscaria decipiens,Solanum lycopersicum,Nephrolepis cordifolia,Aurajia sericifera,Erhardta erecta,Pittosporum undulatum canopy,Solanum aviculare,Bidens pilosa,Geranium solanderii,Commelina difusa,Protasparagus aethiopicus,Stenotaphrum secundatum
R1CL2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1CL3,0,15,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1CL4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1CL5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OP1SW1,0,0,50,0,0,0,0,0,0,0,0,0,0,25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
OP1SW2,0,10,40,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
OP1SW3,0,7,80,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OP1SW4,0,10,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OP1SW5,0,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OP1CL1,0,0,0,0,0,0,0,0,0,0,90,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OP1CL2,0,15,60,0,0,0,0,0,0,0,75,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
